REALPROP,FSASSET,FSSSI,FSNELDER,TANF_IND,FSUSIZE,FSEARN,FSWAGES,RAWNET,FSSLTDE2,FSSTDDE2,FSTOTDED,FSNONCIT,FSSLTDED,WRK_POOR,LIQRESOR,RAWERND,TPOV,FSGRINC,HWGT,FSERNDED,FSTOTDE2,CERTHHSZ,FSERNDE2,FSNETINC,FSDIS,FSGA,SHELDED,FSTANF,FSUNEARN,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,504.0,0.0,134.0,134.0,1.0,0.0,0.0,0.0,0.0,78.0,638.0,869.2314375616089,0.0,134.0,1.0,0.0,504.0,1.0,0.0,0.0,0.0,638.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,42.0,42.0,109.0,0.0,134.0,142.0,0.0,0.0,1.0,0.0,8.0,31.0,251.0,747.5177605149188,8.0,142.0,1.0,8.0,109.0,0.0,0.0,0.0,209.0,209.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,688.0,688.0,157.0,318.0,208.0,787.0,0.0,318.0,1.0,0.0,138.0,57.0,946.0,771.1370055586899,137.0,787.0,4.0,205.0,159.0,0.0,0.0,319.0,0.0,258.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,215.0,0.0,232.0,164.0,209.0,346.0,1.0,164.0,1.0,0.0,43.0,35.0,578.0,795.045049260094,43.0,346.0,4.0,65.0,232.0,0.0,0.0,164.0,0.0,363.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,1476.0,1476.0,838.0,208.0,201.0,637.0,0.0,208.0,1.0,0.0,295.0,107.0,1476.0,978.4363172306392,295.0,637.0,3.0,442.0,839.0,0.0,0.0,209.0,0.0,0.0,0.0,1.0,0.0
0.0,555.0,603.0,0.0,0.0,4.0,1344.0,1344.0,1339.0,0.0,139.0,607.0,0.0,0.0,1.0,555.0,269.0,117.0,1947.0,1155.8391633729448,268.0,607.0,4.0,268.0,1340.0,1.0,0.0,0.0,0.0,603.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,1376.0,1376.0,967.0,0.0,134.0,409.0,0.0,0.0,1.0,0.0,275.0,125.0,1376.0,1003.1651133253492,275.0,409.0,2.0,275.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,22.0,44.0,383.0,0.0,221.0,0.0,5.0,0.0,9.0,184.0,747.4949387192786,0.0,184.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,184.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,242.0,307.0,201.0,441.0,0.0,307.0,0.0,0.0,0.0,84.0,683.0,790.9869308826654,0.0,441.0,1.0,0.0,242.0,0.0,0.0,308.0,0.0,683.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,829.0,0.0,390.0,99.0,243.0,426.0,1.0,99.0,1.0,0.0,165.0,43.0,829.0,878.9891790964731,165.0,426.0,5.0,248.0,403.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,603.0,0.0,0.0,1.0,0.0,0.0,469.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,74.0,603.0,864.8845205265526,0.0,134.0,1.0,0.0,469.0,1.0,0.0,0.0,0.0,603.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,704.5805438707989,0.0,0.0,3.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,534.0,176.0,201.0,310.0,0.0,176.0,0.0,0.0,0.0,103.0,844.0,869.2314375616088,0.0,310.0,1.0,0.0,534.0,0.0,0.0,176.0,0.0,844.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,4.0,200.0,200.0,92.0,398.0,209.0,577.0,0.0,398.0,1.0,0.0,40.0,40.0,669.0,749.4024203653986,40.0,577.0,4.0,60.0,92.0,0.0,0.0,398.0,469.0,469.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,732.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,81.0,890.0,952.088838139332,0.0,134.0,2.0,0.0,756.0,0.0,0.0,23.0,0.0,890.0,0.0,1.0,0.0
0.0,0.0,603.0,0.0,1.0,4.0,0.0,0.0,854.0,0.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0,60.0,993.0,997.1766915079196,0.0,139.0,4.0,0.0,854.0,1.0,0.0,0.0,390.0,993.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,115.0,317.0,0.0,183.0,0.0,0.0,0.0,28.0,231.0,711.655694960853,0.0,231.0,1.0,0.0,0.0,0.0,0.0,183.0,231.0,231.0,1.0,1.0,0.0
0.0,11.0,0.0,0.0,0.0,5.0,237.0,237.0,0.0,328.0,153.0,626.0,0.0,417.0,1.0,11.0,47.0,28.0,537.0,747.4949387192786,47.0,537.0,5.0,0.0,0.0,0.0,0.0,417.0,0.0,300.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,858.0,152.0,201.0,286.0,0.0,152.0,0.0,0.0,0.0,104.0,1144.0,984.6907159197356,0.0,286.0,2.0,0.0,858.0,1.0,0.0,152.0,0.0,1144.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,1066.0,1066.0,714.0,0.0,139.0,352.0,0.0,0.0,1.0,0.0,213.0,64.0,1066.0,951.534062604676,213.0,352.0,4.0,213.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,363.0,1.0,0.0,2.0,0.0,0.0,1112.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,113.0,1246.0,1003.1651133253492,0.0,134.0,2.0,0.0,1112.0,1.0,0.0,0.0,0.0,1246.0,1.0,1.0,0.0
0.0,0.0,603.0,0.0,0.0,4.0,0.0,0.0,114.0,350.0,209.0,489.0,0.0,350.0,0.0,0.0,0.0,36.0,603.0,755.9227959233921,0.0,489.0,4.0,0.0,114.0,1.0,0.0,350.0,0.0,603.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,903.0,903.0,201.0,387.0,201.0,701.0,0.0,387.0,1.0,0.0,181.0,111.0,903.0,777.946179776418,180.0,701.0,1.0,270.0,202.0,0.0,0.0,388.0,0.0,0.0,0.0,1.0,0.0
0.0,26.0,0.0,0.0,1.0,2.0,0.0,0.0,176.0,0.0,134.0,134.0,0.0,0.0,0.0,26.0,0.0,28.0,310.0,762.9979470141016,0.0,134.0,2.0,0.0,176.0,0.0,0.0,0.0,310.0,310.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,2.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,9.0,0.0,0.0,1.0,5.0,648.0,648.0,1200.0,21.0,183.0,312.0,0.0,21.0,1.0,9.0,130.0,78.0,1513.0,1138.7174720868086,129.0,312.0,5.0,150.0,1201.0,0.0,0.0,21.0,320.0,865.0,1.0,1.0,0.0
0.0,992.0,312.0,1.0,0.0,1.0,0.0,0.0,363.0,125.0,201.0,259.0,0.0,125.0,0.0,992.0,0.0,76.0,623.0,830.1091842290721,0.0,259.0,1.0,0.0,364.0,0.0,0.0,125.0,0.0,623.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,383.0,201.0,517.0,0.0,383.0,0.0,0.0,0.0,69.0,562.0,726.8699045935958,0.0,517.0,1.0,0.0,45.0,0.0,0.0,405.0,0.0,562.0,0.0,1.0,0.0
0.0,419.0,176.0,1.0,0.0,1.0,0.0,0.0,0.0,268.0,126.0,477.0,0.0,343.0,0.0,419.0,0.0,49.0,402.0,711.655694960853,0.0,402.0,1.0,0.0,0.0,0.0,0.0,343.0,0.0,402.0,1.0,1.0,0.0
0.0,194.0,0.0,0.0,0.0,4.0,626.0,626.0,187.0,175.0,209.0,439.0,0.0,175.0,1.0,194.0,125.0,38.0,626.0,779.8308396397807,125.0,439.0,4.0,188.0,187.0,0.0,0.0,175.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,1075.0,1075.0,781.0,61.0,200.0,462.0,0.0,61.0,1.0,0.0,215.0,75.0,1243.0,973.2686478004877,215.0,462.0,4.0,276.0,781.0,0.0,0.0,61.0,0.0,168.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,854.0,854.0,1241.0,0.0,134.0,304.0,0.0,0.0,1.0,0.0,171.0,112.0,1546.0,1109.9305576091976,170.0,304.0,3.0,170.0,1242.0,1.0,0.0,0.0,0.0,692.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,393.0,130.0,201.0,264.0,0.0,130.0,0.0,0.0,0.0,80.0,657.0,839.8897475593062,0.0,264.0,1.0,0.0,393.0,0.0,0.0,130.0,0.0,657.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,602.0,602.0,0.0,261.0,30.0,758.0,0.0,417.0,1.0,0.0,120.0,27.0,602.0,747.7609155795811,120.0,602.0,6.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
